Date,Party,Item Code,Qty (Nos),Brand,Cust_type,Media
20-10-2021,3A Global Associates,170M2701,3.0,Bussmann,Ex,E
23-10-2021,Indcart Private Limited,SD1-S,24.0,Bussmann,T,E
23-10-2021,Indcart Private Limited,250NHG1B,24.0,Bussmann,T,E
08-11-2021,The UP Industrial Agency,60LR85,500.0,Bussmann,Ex,E
08-11-2021,The UP Industrial Agency,160MJ30-7,100.0,Bussmann,Ex,E
08-11-2021,The UP Industrial Agency,250MJ30-7,100.0,Bussmann,Ex,E
12-11-2021,CV. AMORA PRAKARSA,170M6499,24.0,Bussmann,A,E
12-11-2021,International Precision Assemblies Inc,63FE,100000.0,Bussmann,A,E
15-11-2021,The UP Industrial Agency,60KR-85,1000.0,Bussmann,Ex,E
15-11-2021,Power Control Electro Systems Pvt. Ltd.,3.6WFFMO250,12.0,Bussmann,En,E
15-11-2021,Power Control Electro Systems Pvt. Ltd.,3.6WFFMO100,12.0,Bussmann,En,E
15-11-2021,Power Control Electro Systems Pvt. Ltd.,3.6WFFMO160,3.0,Bussmann,En,E
15-11-2021,Power Control Electro Systems Pvt. Ltd.,3.6WDFMO63,3.0,Bussmann,En,E
17-11-2021,3A Global Associates,170M2701,3.0,Bussmann,Ex,E
18-11-2021,Al Abdulkarim Holding,17.5TDMEJ10,3.0,Bussmann,A,E
18-11-2021,Al Abdulkarim Holding,17.5TDMEJ6.3,3.0,Bussmann,A,E
18-11-2021,Al Abdulkarim Holding,17.5TDMEJ25,3.0,Bussmann,A,E
18-11-2021,Al Abdulkarim Holding,17.5TDMEJ16,3.0,Bussmann,A,E
18-11-2021,Al Abdulkarim Holding,17.5TDMEJ40,3.0,Bussmann,A,E
23-11-2021,Aira Trex Solutions I Pvt Ltd,12OHGMA90,60.0,Bussmann,T,E
23-11-2021,Aira Trex Solutions I Pvt Ltd,12OEFMA16,24.0,Bussmann,T,E
24-11-2021,The UP Industrial Agency,63MJ30-8,50.0,Bussmann,Ex,E
24-11-2021,Thunderbolt General Trading,170M3973,30.0,Bussmann,A,E
27-11-2021,Swaroop Engineers,KTK-25,12.0,Bussmann,T,E
27-11-2021,Swaroop Engineers,170M6813,12.0,Bussmann,T,E
